"チャットボット名","会社名","概要","POINT1","POINT2","POINT3","対象業界","目的","規模","利用料金","初期費用","無料プラン","無料トライアル"
"WisTalk（ウィズトーク）","パナソニック ソリューションテクノロジー株式会社","問い合わせ対応業務の負荷を約50％軽減！
「Microsoft Teams」や「LINE」でも利用可能！
平均正答率75％、導入は最短3週間、継続利用率95％パナソニック独自開発のAIエンジンを搭載した「WisTalk」が機能強化して登場！
「未知語」検出強化など、AIの進化により回答精度のさらなる向上を実現
管理者が行うQ&Aデータのメンテナンス作業を大幅に削減可能",", トピック推定技術を競う国際コンテストで世界1位を獲得した、回答精度の高さを誇るパナソニック独自の開発エンジンを採用！","WisTalkなら導入を手厚く支援。さまざまな企業の業務改革を成功に導いた専任SEによるサポートで安心して運用を開始！","パナソニックグループの大規模運用で培った信頼性・活用実績のあるQ&Aテンプレートをご提供！Q&Aデータ作成の手間が大きく削減！","全て","問い合わせ対応, 業務改善（効率化）, コスト削減","大企業向け, 中小企業向け","月額10万円～","0円","なし","あり"
"HUE Works Suite DX Solutions Chatbot","株式会社ワークスアプリケーションズ","AI研究の専門機関”徳島人工知能NLP研究所”が開発！
日本最大規模の辞書を搭載したAIチャットボット社内外の問い合わせ業務を効率化するAI対話ツールです。
NLP（自然言語処理）技術を応用することでまるで人と話すような対話を実現。
充実した管理者サポート機能に加え、業界用語などユーザー固有の言葉も辞書に登録できるので長期的に活用いただけます。",", 日本最大規模の辞書＆NLP（自然言語処理）技術の応用で幅広い表現に対応","ユーザーは選択肢を選ぶだけ！AIが簡単・的確な対話をアシスト","利用状況がひと目で分かる！充実の管理者サポート機能で稼働後のPDCAも万全","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, 受付, 業務改善（効率化）, コスト削減, お客様の声（VOC）分析, 作業品質改善, 接客, マーケティング, 営業支援, サイト運営, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 顧客分析, 付加価値, コミュニケーション, コールセンター, 育成支援","大企業向け, 中小企業向け","月額10万円～","30万円～","なし","あり"
"amie Helpbot","ペネトレイト・オブ・リミット株式会社","シナリオ作成は一切不要！
既にあるドキュメントやＦＡＱを自動で学習！
最短1日で導入可能なお手軽チャットボット。既存のマニュアルを自動で学習しわずか2ステップでチャットボットが作成できます。
チャットボット導入にかかる時間や更新作業の工数を80％以上をカットし、
チャットボットの導入を圧倒的なスピードで実現。学習機能を充実させながら管理者をしっかりサポートします。",", シナリオ作成不要、既存のドキュメントからチャットが作成","自動更新機能でFAQ更新はスケジュールで自動学習","テキストマイニングを活用することで高度な検索を実現","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","SNSツール（LINE等）を用いた顧客問合せ対応, 従業員からの問合せ業務効率化, 顧客からの問合せ業務効率化, チャットボット導入工数の削減","大企業向け, 中小企業向け","お問い合わせください","お問い合わせください","なし","あり"
"AURA-アウラ","Micoworks株式会社","【継続利用率：98.8%】
LINEで本格的なマーケティングを行うなら、
LINEツールAURA-アウラAURAはLINEを使って、煩雑になりがちな顧客管理やマーケティングを効率化し、数字の最適化を実現するサービスです。",", セグメント配信で反応率4倍
顧客の属性や、LINE内での行動ログを元にした配信の出しわけ（セグメント配信）により、LINEを最大限に活用できます","botで情報回答や質問対応が可能
botをあらかじめ設定しておくことで、運用の工数をかけることなく自動で情報収集や質問の対応が可能になります","予約や決済もLINEで全て完結
LINE内で予約から決済まで全て簡潔します。ユーザーにとって使いやすいLINEで完結するので離脱が少なくなります","人材, 不動産, IT, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","LINEを用いたマーケティング, LINEを用いた顧客フォロー, LINEを用いた顧客管理","大企業向け, 中小企業向け","20,000円/月〜","お問い合わせください","お問い合わせください","お問い合わせください"
"Vareal NLP（自然言語処理）システム構築/導入サービス","Vareal株式会社","Vareal NLP（自然言語処理）システム構築/導入サービスお客様のニーズに応じたNLP（自然言語処理）を用いたシステムのコンサルティング、
AIモデル構築、導入支援をいたします。
（例）
- FAQシステムAPIの構築/導入
- 文章レコメンドAPIの構築/導入
- チャットボットの構築/導入",", お客様のご要望を丁寧にヒアリングし、既存の製品の組み合わせや新たなAIモデルの作成など、柔軟にご提案いたします。","NLPを使うことによりテキストに対して高精度な検索、レコメンデーションを実現します。","AIモデルの作成から実証、UIの作成、システムインテグレーションまでワンストップで対応します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","レコメンド, 業務改善（効率化）","大企業向け, 中小企業向け, 個人事業主向け","お問い合わせください","お問い合わせください","お問い合わせください","お問い合わせください"
"AIチャット SCHATTI","株式会社ZeQ","対応効率35％UP↑ 返答時間20％DOWN↓
学習機能を備えたAI回答補助&チャットボットが
スマートで心地よい顧客体験を創出しますSCHATTI(スチャッティ)は、日々の顧客対応で学習したデータよりAIが最適な回答を提示するチャットシステムです。
使えば使うほど回答精度が上がり、学習データはナレッジとして蓄積されます。
「現場の負担軽減」と「顧客満足度の向上」を実現します。",", 過去の問い合わせ内容を学習。
AIが回答候補を評価が高い順に提示するので、迅速に回答が出来ます。","チャットボットとして利用可能。
現場で質問・回答を学習または手動でデータセットすることで自動化することが可能です。","導入時・運用時の大幅なコスト削減。
人的コストは97%、データ反映コストは500〜1,000万円の大幅削減が見込めます。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 業務改善（効率化）, コスト削減, 接客, サイト運営, オンライン接客, 顧客満足度向上, 生産性向上","大企業向け, 中小企業向け","お問い合せください","お問い合せください","なし","あり"
"Benefitter","伊藤忠テクノソリューションズ株式会社","CTCの最適解！働き方を進化させる
DXチャットボットプラットフォームBenefitterは、高度なAIボットを短期間で作成できるチャットボット開発プラットフォームです。
社内問い合わせやコールセンターの自動化、社内業務の自動化、マーケティング支援などあらゆるシーンで利用いただけます。",", 最適なものが選べる・つながる！
ボットの目的に応じて、Webブラウザ、Teams、Slack、Tocaro、+メッセージ、LINEを選択することができ、また複数のAIやRPA、業務システム、WEBサービスなどと接続することが可能です。","スモールスタートから拡大できる！
業務を追加するときに、もう別々の製品を検討する必要はありません。""Benefitter""ひとつで、さまざまなAIチャットボットを作り、稼働させることができます。","CTCのトータルサポート！
“Benefitter”は、CTCが独自に開発したAIチャットボット開発プラットフォームです。自社製品ならではのスピーディな対応とサポートをお客様にご提供します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 問い合わせ対応, 業務改善（効率化）, 接客, マーケティング, 営業支援, サイト運営, ユーザーエクスペリエンス向上, コールセンター","大企業向け","個別見積となりますので、
お問い合わせください。","個別見積となりますので、
お問い合わせください。","なし","あり"
"デジタルヒューマン","デジタルヒューマン株式会社","人間らしさとAIのメリットを融合。
新しい顧客体験を提供する
「対話+感情表現 AIインターフェース」デジタルヒューマン（Digital Humans）はチャットボットやNLPと連携し、
対話と感情表現で新しい顧客体験を提供するサービスです。
デジタル従業員として、直感的で、インパクトがあり、競争力があるサービス創造と顧客体験が提供できます。",", AIデジタルヒューマン（デジタル従業員）が24時間365日お客様の問い合わせに自動対応。営業時間内外問わず、スタッフに代わりお客様のお問い合わせに対応します。スタッフの手を借りることなく取引完了ができる様になり、人間スタッフは、より優先度の高いタスクに集中する事ができます。オンラインサービス、店舗等の対人サービス、eラーニング等でも利用可能です。","チャットボットやNLP（自然言語処理）と連携が可能。既に運用されているサービスにアドオンするだけで、テキストベースのサービスが、即座にデジタルヒューマンUIを備えたサービスにアップグレードできます。もちろん、蓄積されたビッグデーターやFAQやナレッジ等の既存資産はそのまま利用できます。チャットボット利用企業様、開発ベンダー様のどちらからご依頼頂いても連携対応します。","外見と声をコピーしたクローンキャラクターで、著名人やインフルエンサーをデジタル従業員として採用する事も可能です。オリジナルキャラクターも利用する事ができ、企業やサービスのブランドアンバサダーとして他にはない価値を提供することが可能です。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, 離脱防止, CVR改善, レコメンド, 問い合わせ対応, パーソナライズ, 受付, 販売, 業務改善（効率化）, プロモーション, ブランディング, コスト削減, 接客, マーケティング, 営業支援, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 付加価値, コミュニケーション, コールセンター, 離職低減, 育成支援, 顔認証, 感情認識・感情解析","大企業向け, 中小企業向け","135,000円/月〜","0円","なし","あり"
"hachidori","hachidori株式会社","hachidorihachidoriは、圧倒的な開発実績とNoCodeで開発可能なユーザビリティを備えた国産初のチャットボットツールです。
LINE／LINE WORKSのパートナーであり、幅広い用途のチャットボットを開発することができます。",", 7,000件を超える開発実績に基づいたシナリオ構築ノウハウ","経験豊富な専任チーム（カスタマーサクセス）の伴走サポート","高性能なAI会話エンジンで回答精度の継続的な向上","人材, 不動産, IT, 教育, 小売, 保険, Webサービス, 通信, メディア, 官公庁","業務改善（効率化）, WEB、LINEマーケティング","大企業向け, 中小企業向け","月額50,000円～","100,000円～","なし","なし"
"kantan chat","マスターピース・グループ株式会社","最短3ヶ月からの英語チャットサポートサービス
「kantan chat 」「kantan chat」は最短3ヶ月からの契約期間で利用できる英語チャットサービスです。
当社の英語ネイティブのオペレーターがAI搭載型チャットシステムを使用しチャット対応します。
AIの自動学習により4か月目以降は完全自動対応も可能です。",", 導入コスト10万円、簡単なQAの準備だけですぐ開始できて最短3ヶ月の利用だけでもOK。業務ボリュームに合わせて利用できる。","当社直営のフィリピンセンターで英語ネイティブスタッフが格安で対応。","AI搭載チャットが自己学習し4か月目以降は完全自動対応も可能、さらに運用コストを抑えられる。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","接客","大企業向け, 中小企業向け","98,000円","100,000円","なし","なし"
"goo AI x DESIGN(エーアイクロスデザイン)","NTTレゾナント株式会社","業務効率化、
セールスアシスタントからキャラクター対話まで！
あらゆるビジネス課題にフィットする
貴社だけのAIチャットボットgoo AI x DESIGNはディープラーニング技術を活用した対話AIソリューションです。
単なるツール提供だけでなく、これまでのサービス提供実績から得たノウハウで
貴社課題に合わせたAIチャットボットをデザインします。",", ディープラーニングによるAIとの自然な対話を実現します","豊富な言語データを保有し、少量のデータからでも高い回答精度を実現します","多様なニーズに応える豊富な機能、ラインナップにより、高いカスタマイズ性でお客様の課題解決を実現します","全て","Webマーケ, 問い合わせ対応, 業務改善（効率化）, プロモーション, 接客, 販売促進, エンゲージメント向上","大企業向け","お問い合わせください","お問い合わせください","なし","なし"
"qualva","株式会社 PROFESSY","コンバージョンチャットボットqualva（クオルバ）qualva（クオルバ）は、コンバージョン率を高めるためのさまざまな機能を兼ね備えたチャットボット。
ウェブサイトに訪れるお客さまの顧客体験を最大化します。
資料請求・予約・電子決済に、これからのウェブ接客の標準、qualvaをご利用ください。",", qualvaは唯一、新規顧客獲得のために作られた専用のチャットボットです。","ユーザーのフォーム入力をアシストして離脱を抑えることで、コンバージョンを促進します。","コンバージョン率が約1.2〜2倍向上、使い始めたその日からすぐに効果を実感いただけます。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 業務改善（効率化）, プロモーション, 接客, サイト運営","大企業向け, 中小企業向け","月額1万円〜","5万円〜","なし","なし"
"チャットプラス","チャットプラス株式会社","初期費用0円 月額1,500円〜低価格で利用可能な
チャットボットチャットプラスは、チャットサポートツールをホームページやアプリに簡単に埋め込むことができる、
チャットボット・チャットサポートツールです。","none","none","none","none","none","none","1500円～","0円","なし","あり"
"チャットシステムChamo","株式会社ジーニー","「心が通う、温かいコミュニケーションを。」チャット業界でもNo.1の実績、4,500社導入の国産No.1チャットツール。",", 数行のタグをサイトに入れるだけで５分でスタート可能です。","基本の接客パターンはデフォルトで設定済みなので、スタートしてすぐに運用可能です。","顧客の情報を分析し、最適なチャットボットを表示させることで、One to One マーケティングを実現します。","全て","Webマーケ, 離脱防止, CVR改善, 問い合わせ対応, 受付, 業務改善（効率化）, 接客","大企業向け, 中小企業向け","6,980円/月","0円","なし","15日間"
"Virtual Agent-バーチャルエージェント-","りらいあデジタル株式会社","コンタクトセンターのノウハウを活かした AIチャットボット「バーチャルエージェント®」50社以上の導入、運用実績あり！","none","none","none","none","none","none","お問い合わせください","お問い合わせください","お問い合わせください","お問い合わせください"
"minarai CS chat","株式会社Nextremer","シンプルなUIで直感的な操作が可能なAIチャットボット
最も重要なシナリオの運用をAIトレーナーが手厚くサポート独自対話システムを搭載したチャットボットです。
対話ログ分析や対人オペレーターへの切り替えなど必要な機能がひと通り網羅され、さらに最も重要なシナリオ編集に関しては、
同時編集やAIを駆使したシナリオ追加提案など独自の機能も充実しています。","none","none","none","none","none","none","50,000円/月〜","なし","あり","あり"
"ENOKI5.0 Essential(Cloud版)","アイフォーカス・ネットワーク株式会社","ヘルプデスク型　ENOKI5.0 EssentialENOKI5.0 Essentialは難しい操作無しで、Q&A（質問と回答）のエクセルファイルを登録するだけですぐにご利用できます。",", 新オントロジー技術とAIエンジンをハイブリットで構成されていることで高速で高度な会話処理を実現しています。","ユーザー動向や要望の分析、知識の拡張のための強力な管理機能が搭載。","スモールスタートが可能で業務範囲の拡大が容易です。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, Webサービス, 通信, メディア, 官公庁","Webマーケ, データ分析, 離脱防止, CVR改善, DM, レコメンド, 問い合わせ対応, 受付, 販売, 業務改善（効率化）, プロモーション, コスト削減, お客様の声（VOC）分析, 接客, ポジショニングマップ, マッチング, マーケティング, 営業支援, 売上アップ, 満足度向上, ユーザーエクスペリエンス向上, 販売促進, 顧客分析, AI研究開発支援, 付加価値, コミュニケーション, 意思決定の高度化, コールセンター, 育成支援","大企業向け, 中小企業向け, 個人事業主向け","月額5万円","10万円","なし","あり"
"AI Messenger Chatbot","株式会社AI Shift","カスタマーサポート向け
最高品質のAIチャットボットAI Messenger Chatbotはユーザーの疑問解決にこだわった回答精度の高いAIチャットボットを提供します。","none","none","none","none","none","none","お問い合わせください","お問い合わせください","なし","なし"
"QuickSolutionチャットボット","住友電工情報システム株式会社","QuickSolutionチャットボット～AI検索システム生まれのチャットボットで ナレッジ活用を促進～",", ユーザの評価をもとにAIが自動学習","業務シーンに応じた複数のチャットボットを用意可能","チャットボットで解決できない質問は検索画面へシームレスに連携","全て","業務改善（効率化）, コールセンター","大企業向け, 中小企業向け","初期費用の20%","3,500,000円～","なし","あり"
"AIMC AIチャットボット導入支援","エイアイエムコンサルティング株式会社","ノーコードで高機能な対話AIを 直感的に操作できるチャットボット使い勝手が良く、高性能なAIチャットボットをどなたでも無償でお試しいただくことができます。","none","none","none","none","none","none","100,000円～","お問い合わせください","お問い合わせください","お問い合わせください"
"OK SKY Chat Bot","株式会社空色","リアル店舗以上の接客体験をあなたのウェブサイトに会話からお客様のニーズを抽出し、日々増加する商品から最適な選択を提示することで購入を促進。",", お客様を即座にサポートし、顧客満足度向上","店舗混雑時の接客を支援","カスタマーサポートコストを低減","全て","業務改善（効率化）, 接客","大企業向け, 中小企業向け","お問い合わせ下さい","お問い合わせ下さい","お問い合わせ下さい","お問い合わせ下さい"
"汎用AIチャットボットCB3","NDIソリューションズ株式会社","汎用AIチャットボット　社内・社外からのお問い合わせは
私たちに任せてください社内・社外からの問合せ業務の自動化や、業務システムと連携したチャットでの業務データ照会・入力に活用いただけます。",", 簡単な問い合わせはチャットボット、申込みや難しい問い合わせはオペレータが対応することで業務負荷を軽減します。","夜間・休日も質問に自動回答してくれますので、お客様や従業員の方はいつでも回答を得ることができます。","問合せ対応者毎の回答のバラツキをなくし、同じ質問には同じ回答をしてくれます。","全て","問い合わせ対応, 業務改善（効率化）","大企業向け, 中小企業向け","お問い合わせ下さい","お問い合わせ下さい","なし","なし"
"AI-FAQ ボット","株式会社L is B","社内でも社外でも、始めやすく使いやすい ユーザーの思考に合わせ進化する「AI-FAQ ボット」日々、同じような質問を繰り返されるお問い合わせに追われているみなさまへ。","none","none","none","none","none","none","30,000円/月～","お問い合わせください","お問い合わせください","30日間無料"
"direct","株式会社L is B","「direct」+ 「チャットボット」でビジネスはさらに進化する「direct」はスマートフォンやPCですぐに使いこなせるシンプルで操作しやすいビジネスチャットです。",", メール数を大幅に削減、業務効率UP ！送信したメッセージが読まれたかどうか瞬時に分かる","初期コストゼロ、教育コストゼロで簡単に導入できる","社員間のコミュニケーションが活性化し、活力ある組織づくりに貢献できる","全て","問い合わせ対応, 業務改善（効率化）","大企業向け, 中小企業向け","0円","0円","あり（10名まで）","なし"
"たよれーるAIチャットボットサービス","株式会社大塚商会","IBM Watsonの自然言語処理機能を利用した
大塚商会オリジナルのシステムです開発費は自社負担のため、費用対効果の出やすいサービス価格でご提供しています。","none","none","none","none","none","none","70,000円/月","400,000円","なし","3ヶ月無料（初期費用別途要）"
"Concierge U","株式会社コンシェルジュ","プログラミング不要の高機能AIチャットボットドラッグ&ドロップの 直感操作、csvでのQ&Aデータアップロードなど、誰でも簡単にチャットボットを 作成可能。",", プログラミングの知識は不要です。直感的な操作で誰でも簡単に作成することが出来ます。","収集したデータから簡単にレポートを作成できるので、顧客情報を有効活用が出来ます。","LINEやFacebookなどのインターフェイスと連携し、新しいマーケティングチャネルを確立します。","全て","Webマーケ, データ分析, 問い合わせ対応, 受付, 接客","大企業向け, 中小企業向け","10万円～","5万円～","―","―"
"FirstContact","株式会社バイタリフィ","高機能、ハイコストパフォーマンスなAIチャットボット「FirstContact」は、ユーザー目線・オペレーター目線を考え、より優れた意思疎通をめざし、
様々なアプローチでテキストでの会話を補完するチャットボットです。",", 「多項目の選択形式」で回答内容の範囲を想定し、ユーザーとの会話を脱線させません。","潜在ユーザーへのアプローチで、コンバージョン率をアップさせます。","定型的な質問に対するアプローチが多数、カスタマーサポートの人件費を削減します。","全て","Webマーケ, データ分析, 離脱防止, CVR改善, 問い合わせ対応, 受付, 販売, コスト削減, 接客","大企業向け, 中小企業向け, 個人事業主向け","月額2,980円～","0円","なし","あり"
"Third AI コンタクトセンターソリューション","日本サード・パーティ株式会社","チャットボットThirdAIは最適なAIを最適なコストで提供するAIソリューションチャットボットThirdAIではAIをお客様の業務改善に合わせ選定、提供するサービスです。","none","none","none","none","none","none","20万円～","100万円〜","なし","なし"
"対話型AI「ハル」＠チャットボット","クリスタルメソッド株式会社","業務の自動化をHALさんがサポートします！勤怠管理や受付係などの業務や投資信託のオススメなどオフィスの自動化をサポートいたします。",", 音声認識で勤怠管理が行えるので、タイムカードの紙媒体が不要！","音声でユーザの感情を分析、好感度推定機能と組み合わせて情報を収集が可能","議事録の記録は音声認識で行うことで書記は不要になります。","全て","Webマーケ, データ分析, 業務改善（効率化）, プロモーション, 接客","大企業向け, 中小企業向け","30万円","90万円","-","-"
"AIチャットボット「 HiTTO 」","HiTTO株式会社","大企業様の問い合わせ対応業務をサポート！
かんたんAIで定型業務をまるっと自動化HiTTOはチャットボットの導入・運用に欠かせない学習データのメンテナンスを簡単にできる管理画面や、 様々なサービスと連携できる拡張性などをご評価いただき、多くの大手企業様の人事総務や情報システム部門にご導入いただいております。","none","none","none","none","none","none","お問い合わせください","なし","なし","あり"
"QuickQA","株式会社エーアイスクエア","社内業務のチャット・WebサイトのUIに対応する、 AIベースのQAソリューション「QuickQA」社内の困ったをQuickQAが解決します！ 気になったら資料請求ください","none","none","none","none","none","none","30万円～（月額）","1,000,000円","お問い合わせください","お問い合わせください"
"Einstein for Service","株式会社セールスフォース・ドットコム","カスタマーサポート業務の効率化とオペレータの生産性を向上AIがオペレータやエージェントの生産性を高める。",", マウス操作だけで構築ができるチャットボットで満足度の高いセルフサービス機能を提供","CRMに組み込まれたAIですべてのサービス担当者の作業時間短縮と迅速な問題解決をサポート","Einstein for Service は迅速に導入できて、設定も簡単なので、インテリジェントで満足度の高いカスタマーサービスをすぐに実現","金融, IT, 製造, 旅行, 保険, EC, Webサービス, 通信","データ分析, 業務改善（効率化）, 接客","大企業向け, 中小企業向け, 個人事業主向け","月額　6,000円/1ユーザー","-","なし","なし"
"mobiAgent（モビエージェント）","モビルス株式会社","コンタクトセンターのオペレーションに最適化した、
自動応答対応チャットボットツール顧客との対話、FAQの自動回答、定型手続きの自動受付を実現します。",", 顧客との対話、FAQの自動回答、定型手続きの自動受付を実現します。","時間帯、顧客の希望、問い合わせ種別等に応じた柔軟な自動・有人切替が可能です。","豊富な統計出力・レポーティングから多彩なオペレーター支援機能を搭載しています。","全て","業務改善（効率化）, 接客","大企業向け, 中小企業向け","12,000円/1ID","100,000円","なし","あり"
"CAIWA Service Viii","株式会社イクシーズラボ","AIプラットフォームCAIWAを基盤とした
高性能AIチャットボット「問い合わせ対応負荷を軽減したい」「顧客満足度を向上させたい」「お客様の生声を吸い上げたい」にお応えします。","none","none","none","none","none","none","お問い合わせ下さい","お問い合わせ下さい","お問い合わせ下さい","お問い合わせ下さい"
"ObotAI","株式会社ObotAI","学習するAIを搭載。使うほどかしこく。多言語に対応します最新エンジンを搭載！7か国語に対応した AIチャットボット作成システムです。",", 学習するAIを搭載。定型文通りにしか回答しないチャットボットではなく、使うほど便利になります。","マルチ言語に対応。日本語だけでなく、英語をはじめとした主要外国語にも対応します。","コストカットを実現。従業員が対応していたお問合わせ業務を一部自動化します。","旅行, 全て","問い合わせ対応, 業務改善（効率化）, コスト削減, 接客","大企業向け, 中小企業向け","7万円～30万円","0円～","なし","あり"
"オンライン・コンシェルジェ","株式会社R500M","多言語対応・簡単設定のチャットボット煩雑なお問い合わせ業務を軽減し、お問い合わせ対応の効率化と品質向上を実現します。",", 簡単な設定で独自のチャットボットが実現できます。","日本語での設定で多言語対応が実現できます。","メール問い合わせの返信文案を自動的に作成します。","旅行, 全て","問い合わせ対応, 受付, 業務改善（効率化）, 接客","大企業向け, 中小企業向け","月額5000円～","0円","なし","あり"
"My-ope office","株式会社mofmof","社内問い合わせ対応専用のAIチャットボットです社内問合せの課題を解決し、社員が抱える「探す時間」を大幅削減します。",", 導入前のスケジューリング、タスク洗い出しなど丁寧な対応で、短期間での導入・運用が可能です。","社内問い合わせ工数を減らし、社員の書類や情報を「探す時間」を短縮します。","社内問い合わせ対応に特化した独自に組まれた自社開発AIエンジンが課題解決を実現します。","人材, 不動産, 金融, 物流, IT, 製造, 教育, 小売, 卸売, 保険, EC","問い合わせ対応, 受付, 業務改善（効率化）","大企業向け, 中小企業向け","120,000円","160,000円","なし","―"
"BOTCHAN","株式会社wevnal","カスタマーサポートを、早く、賢く、正確にボットシナリオをお客様ご自身で作成できるチャットボットサービスです。
自然言語処理、レコメンドエンジンといったAIエンジンと接続が可能で、ユーザとのより自然な会話を実現します。",", お客様ご自身でも作成できるシナリオは、コールセンターの人件費を大幅にカットします。","まずは無料プランから、ご要望に合わせて最適なプランをご提案します。","発言内容の取得から、アクセス解析によるマーケティングの最適化を実現します。","全て","Webマーケ, データ分析, 離脱防止, レコメンド, 問い合わせ対応, 受付, コスト削減, 接客","大企業向け, 中小企業向け","月額1万円～","10万円","あり","―"
"Faceコンシェル","株式会社インテリジェントウェイブ","WEBサイト上で稼働するコンシェルジュサービスです画面上に登場したキャラクターへ質問を入力すると 高度な口語解析技術により的確な回答を自動応答します。","none","none","none","none","none","none","お問い合わせ下さい","―","―","―"
